"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.781738958E0,1.916015625E-2,-8.073311462E0,9.581575012E-1,8.129993289E0
2.791723958E0,1.829196167E-1,-8.199798431E0,8.286767578E-1,8.243595033E0
2.801709958E0,-3.079096985E-1,-7.832162933E0,8.750802612E-1,7.886910045E0
2.811694958E0,-8.791218567E-1,-7.179819489E0,6.753955078E-1,7.264903456E0
2.821679958E0,-1.560205536E0,-6.672524414E0,4.613406372E-1,6.868017076E0
2.831664958E0,-2.378104706E0,-7.531737671E0,3.158432007E-2,7.898319562E0
2.841649958E0,-1.871558075E0,-8.288264465E0,-5.295986938E-1,8.513432460E0
2.851634958E0,-1.325942688E0,-7.860903168E0,3.347039795E-1,7.978969193E0
2.861620958E0,-1.121467896E0,-7.695347443E0,1.360969849E0,7.894827511E0
2.871605958E0,1.185534668E0,-7.096143494E0,1.601070557E0,7.370493325E0
2.881590958E0,1.305734711E0,-5.700445862E0,1.025667114E0,5.937341087E0
2.891575958E0,8.689430237E-1,-4.605622559E0,3.809577942E-1,4.702334524E0
2.901560958E0,1.637893982E0,-4.561913452E0,1.002914429E-2,4.847045659E0
2.911546958E0,7.695347443E0,-1.724159592E1,4.505630493E-2,1.888102307E1
2.921531958E0,1.924862228E1,-3.972648834E1,9.026229858E-2,4.414421234E1
2.931516958E0,8.106242981E0,-3.246179535E1,-3.131488037E-1,3.346008659E1
2.941501958E0,2.869682465E0,-1.437071594E1,-1.115180969E-1,1.465486235E1
2.951486958E0,4.738097076E0,-7.084916840E0,3.146157532E0,9.085368333E0
2.961472958E0,3.297941895E0,-6.825955353E0,6.128106537E0,9.748014000E0
2.971457958E0,2.637215881E0,-8.381221161E0,3.471281433E0,9.447199084E0
2.981442958E0,2.882855072E0,-9.959688721E0,5.845344543E-1,1.038498596E1
2.991427958E0,3.007396088E0,-9.964628448E0,1.362167358E-2,1.040857516E1
3.001412958E0,2.380200348E0,-9.688901825E0,3.164419556E-1,9.981999188E0
3.011398958E0,1.673220520E0,-9.482331390E0,3.948788452E-1,9.636918844E0
3.021383958E0,1.590742035E0,-9.495503998E0,4.834945679E-1,9.639959719E0
3.031368958E0,1.481319580E0,-9.704319763E0,5.276527405E-1,9.830897577E0
3.041353958E0,1.244062958E0,-9.695039063E0,8.990304565E-1,9.815789873E0
3.051338958E0,1.405577087E0,-9.611812134E0,1.503174133E0,9.829654720E0
3.061324958E0,1.927391968E0,-9.658814392E0,1.781445465E0,1.000905006E1
3.071309958E0,2.374961243E0,-9.677974548E0,1.964963837E0,1.015700326E1
3.081294958E0,2.582280121E0,-9.658215637E0,2.231110382E0,1.024339560E1
3.091279958E0,2.793041840E0,-9.667346649E0,2.482437744E0,1.036441851E1
3.101264958E0,2.783461761E0,-9.638307037E0,2.514620819E0,1.034253063E1
3.111250958E0,2.857857056E0,-9.321266327E0,2.513123932E0,1.006822451E1
3.121235958E0,3.021915894E0,-9.143585815E0,2.508932648E0,9.951476286E0
3.131220958E0,3.181633759E0,-9.203461304E0,2.337239685E0,1.001444870E1
3.141205958E0,3.114124146E0,-9.203311615E0,2.083367615E0,9.936756739E0
3.151190958E0,2.737507324E0,-9.299411774E0,1.503623199E0,9.809887278E0
