"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.704935833E0,9.347461853E0,-1.076246933E1,9.984237671E-1,1.428994889E1
2.714920833E0,9.188043365E0,-1.124955643E1,1.191671906E0,1.457370038E1
2.724905833E0,8.957373047E0,-1.144609772E1,1.564696198E0,1.461834324E1
2.734890833E0,8.577313385E0,-1.119042938E1,1.974094849E0,1.423703147E1
2.744875833E0,7.871531067E0,-1.044857208E1,2.224374390E0,1.326957050E1
2.754860833E0,7.238048401E0,-9.363777924E0,2.254461823E0,1.204791599E1
2.764845833E0,6.897805939E0,-8.043972473E0,2.286944275E0,1.084044898E1
2.774830833E0,6.594536591E0,-6.608607330E0,2.472558289E0,9.657905994E0
2.784815833E0,6.308930511E0,-5.274132385E0,2.586172028E0,8.620171830E0
2.794800833E0,6.275998993E0,-4.249962158E0,2.534230042E0,7.992037513E0
2.804785833E0,6.360124054E0,-3.620670776E0,2.289339294E0,7.668214216E0
2.814770833E0,6.510411530E0,-3.407064972E0,1.862876129E0,7.580491902E0
2.824755833E0,6.721023560E0,-3.433559875E0,1.296154633E0,7.657774346E0
2.834740833E0,6.763385468E0,-3.591032410E0,5.906716919E-1,7.680350890E0
2.844725833E0,6.790778503E0,-3.891307983E0,-1.413061523E-1,7.827957456E0
2.854710833E0,6.763535156E0,-4.320465546E0,-8.345146179E-1,8.068968025E0
2.864695833E0,6.628964996E0,-4.705614624E0,-1.423539734E0,8.253026795E0
2.874680833E0,6.546636200E0,-4.977748718E0,-1.957629089E0,8.453918588E0
2.884666833E0,6.509962463E0,-5.147346039E0,-2.333347778E0,8.620863899E0
2.894651833E0,6.451434174E0,-5.255271606E0,-2.613565063E0,8.721789088E0
2.904636833E0,6.324348450E0,-5.400469666E0,-2.665956116E0,8.733257006E0
2.914621833E0,6.111790466E0,-5.590574341E0,-2.544857941E0,8.665148937E0
2.924606833E0,5.809119873E0,-5.869145050E0,-2.229763184E0,8.553629707E0
2.934591833E0,5.442831573E0,-6.223907318E0,-1.639241180E0,8.429030163E0
2.944576833E0,5.149291992E0,-6.573879547E0,-9.535171509E-1,8.404778122E0
2.954561833E0,4.845274200E0,-6.937922516E0,-2.016307068E-1,8.464756692E0
2.964546833E0,4.450545044E0,-7.198829956E0,6.283932495E-1,8.486776891E0
2.974531833E0,4.026626587E0,-7.197931824E0,1.477277985E0,8.378919647E0
2.984516833E0,3.768413544E0,-6.991361389E0,2.110760651E0,8.217991557E0
2.994501833E0,3.738176422E0,-6.684649200E0,2.479893036E0,8.050364424E0
3.004486833E0,3.850143585E0,-6.423292694E0,2.681673431E0,7.954474656E0
3.014471833E0,4.013753357E0,-6.186185760E0,2.833906860E0,7.900008757E0
3.024456833E0,4.218976593E0,-6.010451202E0,2.886597290E0,7.890356840E0
3.034441833E0,4.449497223E0,-5.936055908E0,2.793191528E0,7.926960590E0
3.044426833E0,4.729115753E0,-5.948929138E0,2.608924713E0,8.034972424E0
3.054411833E0,5.040917358E0,-5.942941589E0,2.227068787E0,8.104889754E0
3.064396833E0,5.340444489E0,-5.977070618E0,1.794468384E0,8.213759023E0
3.074381833E0,5.664819946E0,-6.051316223E0,1.372346191E0,8.401901399E0
3.084366833E0,5.924080811E0,-6.076912994E0,9.590556335E-1,8.540690411E0
3.094351833E0,6.211932220E0,-6.017187195E0,6.231541443E-1,8.670811077E0
