"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.929399208E0,3.052751770E0,9.113797760E0,5.515580292E0,1.108161671E1
1.939437208E0,6.908134460E-1,1.030082932E1,7.426506500E0,1.271759830E1
1.949476209E0,7.411088562E-1,1.020338196E1,7.578290863E0,1.273140755E1
1.959514208E0,4.355343018E0,9.765841827E0,5.066214752E0,1.183246430E1
1.969552208E0,1.023062531E1,8.409362640E0,7.556286621E-1,1.326476720E1
1.979590209E0,1.741343857E1,4.791985016E0,-4.599185944E0,1.863715307E1
1.989629208E0,2.467992783E1,-4.001179504E-1,-8.903934174E0,2.624002621E1
1.999667208E0,3.196228409E1,-5.002597046E0,-1.073492661E1,3.408595357E1
2.009705208E0,3.865546555E1,-8.283773804E0,-1.078597046E1,4.097808053E1
2.019744209E0,4.623630112E1,-1.326691132E1,-1.157917099E1,4.947609198E1
2.029782208E0,5.016173813E1,-2.055750046E1,-1.525343033E1,5.631587639E1
2.039820208E0,5.039974319E1,-2.756847107E1,-1.915641403E1,6.055677427E1
2.049858209E0,5.019975906E1,-2.949945557E1,-1.818882614E1,6.100054988E1
2.059897208E0,4.834496613E1,-2.640733566E1,-1.134760254E1,5.624367707E1
2.069935208E0,4.623181046E1,-2.663007248E1,-3.024610291E0,5.343865011E1
2.079973208E0,4.348771683E1,-2.718257355E1,1.042581940E0,5.129484181E1
2.090011209E0,4.076832184E1,-2.571667191E1,1.151405640E0,4.821544373E1
2.100050208E0,3.607872391E1,-2.334575226E1,-1.210083618E0,4.299026366E1
2.110088208E0,2.896012711E1,-2.032608170E1,-5.453160095E0,3.579909935E1
2.120126209E0,2.134606064E1,-1.746882339E1,-9.745334473E0,2.925381410E1
2.130164208E0,1.301273987E1,-1.398392029E1,-1.269480103E1,2.293554880E1
2.140203208E0,4.245621185E0,-8.533604279E0,-1.445708633E1,1.731632312E1
2.150241208E0,-4.108057251E0,-4.899311829E-1,-1.621083939E1,1.673043575E1
2.160279208E0,-9.844578094E0,7.114255829E0,-2.107392654E1,2.432362501E1
2.170318208E0,-5.396428070E0,6.465654602E0,-2.649669983E1,2.780289962E1
2.180356208E0,3.879632263E0,2.129172363E0,-2.106210114E1,2.152201258E1
2.190394209E0,9.380393372E0,4.492457886E0,-8.122259674E0,1.319640329E1
2.200432208E0,1.158396103E1,9.379195862E0,2.488125916E0,1.511119581E1
2.210471208E0,1.222492813E1,1.132874176E1,8.850345612E0,1.887108569E1
2.220509209E0,1.118144806E1,1.060903839E1,1.233899094E1,1.974404147E1
2.230547208E0,9.565109253E0,8.872499542E0,1.365879639E1,1.888849602E1
2.240585208E0,6.826853485E0,6.489754486E0,1.234093689E1,1.552486925E1
2.250624208E0,2.614612885E0,2.288141785E0,8.837173004E0,9.495652693E0
2.260662209E0,-1.693278809E0,-2.406695251E0,5.553750916E0,6.285182924E0
2.270700208E0,-5.588628387E0,-5.448519745E0,2.833008728E0,8.303316995E0
2.280738208E0,-8.037984924E0,-6.491251373E0,2.679428101E-2,1.033180836E1
2.290777209E0,-8.547675018E0,-6.285728760E0,-2.197729797E0,1.083527344E1
2.300815208E0,-6.856491852E0,-5.548362122E0,-2.748733978E0,9.238578962E0
2.310853208E0,-4.013304291E0,-4.630321198E0,-1.162183228E0,6.236758419E0
2.320892208E0,-1.224004669E0,-3.983366547E0,1.501677246E0,4.429495572E0
2.330930208E0,1.065783691E-1,-3.805087280E0,3.728446655E0,5.328354588E0
2.340968208E0,-1.314266968E-1,-3.789819031E0,5.059029694E0,6.322482321E0
2.351006208E0,-1.179098053E0,-3.820355530E0,5.591622162E0,6.873981888E0
2.361045209E0,-2.921175385E0,-4.308191071E0,5.287005615E0,7.419312927E0
2.371083208E0,-4.985532532E0,-5.004093933E0,4.306095428E0,8.272783604E0
2.381121208E0,-7.341632996E0,-5.657185822E0,3.256478119E0,9.823847322E0
2.391159208E0,-9.493558044E0,-6.938371582E0,2.118245087E0,1.194803778E1
2.401198208E0,-1.077145065E1,-8.424481201E0,5.041516113E-1,1.368393955E1
2.411236208E0,-1.093071945E1,-9.064101105E0,-9.873468018E-1,1.423423374E1
