"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.086811458E0,-1.060993652E0,5.458249512E0,6.217919769E0,8.341505950E0
3.096849458E0,-1.030906219E0,5.508395233E0,6.168372803E0,8.333907170E0
3.106887458E0,-1.031055908E0,5.528603210E0,6.195765839E0,8.367559027E0
3.116925458E0,-1.106199646E0,5.545368347E0,6.355633392E0,8.506989102E0
3.126963458E0,-1.064286804E0,5.523813171E0,6.605164490E0,8.676025374E0
3.137002458E0,-1.012644196E0,5.448519745E0,6.803352356E0,8.774817318E0
3.147040458E0,-1.075663147E0,5.346132660E0,6.965016174E0,8.845882428E0
3.157078458E0,-1.182840271E0,5.302573242E0,7.105124817E0,8.944226784E0
3.167116458E0,-1.202000427E0,5.229525146E0,7.258106689E0,9.026231273E0
3.177155458E0,-1.165326691E0,5.174888763E0,7.445966034E0,9.142202699E0
3.187193458E0,-1.157692566E0,5.120551758E0,7.595205688E0,9.232954664E0
3.197231458E0,-1.174457703E0,5.091362457E0,7.771089935E0,9.364355896E0
3.207269458E0,-1.218466187E0,5.145250397E0,7.968529358E0,9.563248487E0
3.217308458E0,-1.200054474E0,5.231321411E0,8.179440765E0,9.783154179E0
3.227346458E0,-1.147962799E0,5.279970245E0,8.339458008E0,9.936924285E0
3.237384458E0,-1.083297272E0,5.312452698E0,8.493936768E0,1.007683722E1
3.247422458E0,-9.264234924E-1,5.300178223E0,8.711733856E0,1.023935821E1
3.257460458E0,-7.587721252E-1,5.261558533E0,8.996890869E0,1.045006118E1
3.267499458E0,-6.261479187E-1,5.219196625E0,9.322164459E0,1.070209441E1
3.277537458E0,-5.725593567E-1,5.206173706E0,9.629325714E0,1.096156844E1
3.287575458E0,-5.486091614E-1,5.192252655E0,9.908046112E0,1.119954630E1
3.297613458E0,-5.080435181E-1,5.123695221E0,1.011057495E1,1.134610448E1
3.307652458E0,-5.325924683E-1,5.023254089E0,1.022134460E1,1.140143070E1
